61J,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Gopalapura,6th Block Rajajinagara,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Maruthi Mandira,Vijayanagara Bus Station,Income Tax Layout,Chandra Public School,Ganesha Temple Chandra Layout,Chandra Layout Circle,Chandra Layout 1st Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61B,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Gopalapura,6th Block Rajajinagara,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Maruthi Mandira,Vijayanagara Bus Station,Income Tax Layout,Chandra Public School,Ganesha Temple Chandra Layout,Gangondanahalli Masjid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238V,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Gopalapura,6th Block Rajajinagara,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Maruthi Mandira,Vijayanagara Bus Station,Income Tax Layout,Chandra Public School,Ganesha Temple Chandra Layout,Chandra Layout Circle,Jyothi Nagara,Nagarabhavi Circle,Manasa Nagara,12th Block Nagarabhavi,NGEF Layout Nagarabhavi,Vinayaka Layout Nagarabhavi,Kengunte Circle,Ambedkar Institute of Technology,Deepa Complex,ITI Layout,Nagarabhavi Vishweshwaraiah Sports Club,Annapoorneshwari nagara Cross,Muddinapalya Junction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238UM,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Govindarajanagara,Prashanth Nagara,Saraswathi Nagara,Priyadarshini Layout,Moodalapalya,Kalyananagara,Byraveshwaranagara,Maruthi Nagara,Nagarabhavi Circle,Manasa Nagara,NGEF Layout Nagarabhavi,Vinayaka Layout Nagarabhavi,Kengunte Circle,Ambedkar Institute of Technology,Deepa Complex,ITI Layout,Nagarabhavi Vishweshwaraiah Sports Club,Annapoorneshwari nagara Cross,Muddinapalya Junction,KLE Society College Cross,KLE Society College,Upkar Layout Cross,Ullala Satellite Town Cross,Ullala Satelite Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road TollGate,Pipe Line Park,Pipeline Binni Layout,Hampi Nagara 7th Main,Hampinagara RPC Layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61A,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Gopalapura,6th Block Rajajinagara,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Maruthi Mandira,Vijayanagara Bus Station,Income Tax Layout,Chandra Public School,Ganesha Temple Chandra Layout,Chandra Layout Circle,Chandra Layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238U,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Govindarajanagara,Prashanth Nagara,Saraswathi Nagara,Priyadarshini Layout,Moodalapalya,Kalyananagara,Byraveshwaranagara,Maruthi Nagara,Nagarabhavi Circle,Manasa Nagara,NGEF Layout Nagarabhavi,Vinayaka Layout Nagarabhavi,Kengunte Circle,Ambedkar Institute of Technology,Deepa Complex,ITI Layout,Nagarabhavi Vishweshwaraiah Sports Club,Annapoorneshwari nagara Cross,Muddinapalya Junction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238UN,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Govindarajanagara,Prashanth Nagara,Saraswathi Nagara,Priyadarshini Layout,Moodalapalya,Kalyananagara,Byraveshwaranagara,Maruthi Nagara,Nagarabhavi Circle,Manasa Nagara,NGEF Layout Nagarabhavi,Vinayaka Layout Nagarabhavi,Kengunte Circle,Ambedkar Institute of Technology,Deepa Complex,ITI Layout,Nagarabhavi Vishweshwaraiah Sports Club,Annapoorneshwari nagara Cross,Annapoorneshwarinagara Water Tank,D Group Employees Layout Srigandhada Kaval,Narasapura (H D Devegowda Circle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238W,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Govindarajanagara,Prashanth Nagara,Saraswathi Nagara,Priyadarshini Layout,Moodalapalya,Kalyananagara,Byraveshwaranagara,Maruthi Nagara,Nagarabhavi Circle,Manasa Nagara,12th Block Nagarabhavi,NGEF Layout Nagarabhavi,Vinayaka Layout Nagarabhavi,Kengunte Circle,Ambedkar Institute of Technology,Deepa Complex,Papareddypalya,Aladamara Papareddypalya,BDA Complex Nagarabhavi,Annapoorneshwarinagara,Srigandhada Kaval,D Group Employees Layout Srigandhada Kaval,Narasapura (H D Devegowda Circle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238US,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Govindarajanagara,Prashanth Nagara,Saraswathi Nagara,Priyadarshini Layout,Moodalapalya,Kalyananagara,Byraveshwaranagara,Maruthi Nagara,Nagarabhavi Circle,Manasa Nagara,NGEF Layout Nagarabhavi,Vinayaka Layout Nagarabhavi,Kengunte Circle,Ambedkar Institute of Technology,Deepa Complex,ITI Layout,Nagarabhavi Vishweshwaraiah Sports Club,Annapoorneshwari nagara Cross,Annapoorneshwarinagara Water Tank,D Group Employees Layout Srigandhada Kaval,Srigandhada Kaval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238UC,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Govindarajanagara,Prashanth Nagara,Saraswathi Nagara,Priyadarshini Layout,Moodalapalya,Kalyananagara,Byraveshwaranagara,Maruthi Nagara,Nagarabhavi Circle,Manasa Nagara,12th Block Nagarabhavi,NGEF Layout Nagarabhavi,Vinayaka Layout Nagarabhavi,Kengunte Circle,Durga Bakery Mallathahallli,ITI Layout Cross,Sir M Vishweshwaraiah Layout 9th Blk Mallathahalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238C,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Govindarajanagara,Prashanth Nagara,Saraswathi Nagara,Priyadarshini Layout,Moodalapalya,Kalyananagara,Byraveshwaranagara,Maruthi Nagara,Nagarabhavi Circle,Manasa Nagara,12th Block Nagarabhavi,Bande Maramma Bus Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
