Area,Bus Number,Platform Number,Destination,Via,,Area - Kannada,Destination - Kannada,Via - Kannada
Austin Town,146,29,Vivek Nagar,Nanjappa Circle,,ಆಸ್ಟಿನ್ ಟೌನ್,ವಿವೇಕನಗರ,ನಂಜಪ್ಪ ವೃತ್ತ
Banasawadi Main Road,302A,20,Babusab Palya,banaswadi ayyappa temple,,ಬಾಣಸವಾಡಿ ಮುಖ್ಯ ರಸ್ತೆ,ಬಾಬುಸಾಬ್ ಪಾಳ್ಯ,ಬಾಣಸವಾಡಿ ಅಯ್ಯಪ್ಪ ದೇವಸ್ಥಾನ
Banasawadi Main Road,302B,20,Kalyan Nagar,Kammanahalli,,ಬಾಣಸವಾಡಿ ಮುಖ್ಯ ರಸ್ತೆ,ಕಲ್ಯಾಣ ನಗರ,ಕಮ್ಮನಹಳ್ಳಿ
Banasawadi Main Road,300H,20,KR Pura,Banasawadi,,ಬಾಣಸವಾಡಿ ಮುಖ್ಯ ರಸ್ತೆ,ಕೆಆರ್ ಪುರ,ಬಾಣಸವಾಡಿ
Banasawadi Main Road,301F,20,TC Palya,Banasawadi,,ಬಾಣಸವಾಡಿ ಮುಖ್ಯ ರಸ್ತೆ,ಟಿಸಿ ಪಾಳ್ಯ,ಬಾಣಸವಾಡಿ
Banashankari,215N,12,Anjanapura,KR Market,,ಬನಶಂಕರಿ,ಅಂಜನಾಪುರ,ಕೃ ರಾ ಮಾರುಕಟ್ಟೆ
Banashankari,215B,12,Avalahalli BDA Layout,Konanakunte Cross,,ಬನಶಂಕರಿ,ಆವಲಹಳ್ಳಿ ಬಿಡಿಎ ಲೇಔಟ್,ಕೋಣನಕುಂಟೆ ಕ್ರಾ‌ಸ್
Banashankari,12,11,Banashankari,Lalbagh,,ಕನಕಪುರ ರಸ್ತೆ,ಬನಶಂಕರಿ,ಲಾಲ್‌ ಬಾಗ್‌
Banashankari,KBS5H,11,Harohalli,Kaggalipura,,ಬನಶಂಕರಿ,ಹಾರೋಹಳ್ಳಿ,ಕಗ್ಗಲೀಪುರ
Banashankari,210E,11,Vasanthapura,"Banashankari, Uttarahalli",,ಕನಕಪುರ ರಸ್ತೆ,ವಸಂತಪುರ,"ಬನಶಂಕರಿ, ಉತ್ತರಹಳ್ಳಿ"
Bannerughatta Road,365P,16,Anekal,Jigani,,ಬನ್ನೇರುಘಟ್ಟ ರಸ್ತೆ,ಆನೇಕಲ್,ಜಿಗಣಿ
Bannerughatta Road,365,16,Bannerughatta National Park,gottigere,,ಬನ್ನೇರುಘಟ್ಟ ರಸ್ತೆ,ಬನ್ನೇರುಘಟ್ಟ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ,ಗೊಟ್ಟಿಗೆರೆ
Bannerughatta Road,365D,16,Bilavaradahalli,gottigere,,ಬನ್ನೇರುಘಟ್ಟ ರಸ್ತೆ,ಬಿಲವರದಹಳ್ಳಿ,ಗೊಟ್ಟಿಗೆರೆ
Bannerughatta Road,369G,16,Chikka Kammanahalli,Meenakshi Temple,,ಬನ್ನೇರುಘಟ್ಟ ರಸ್ತೆ,ಚಿಕ್ಕ ಕಮ್ಮನಹಳ್ಳಿ,ಮೀನಾಕ್ಷಿ ದೇವಸ್ಥಾನ
Bannerughatta Road,369C,16,Hulimavu,Arakere Gate,,ಬನ್ನೇರುಘಟ್ಟ ರಸ್ತೆ,ಹುಳಿಮಾವು,ಅರಕೆರೆ
Bannerughatta Road,365J,16,Jigani APC Circle,Bannerughatta circle,,ಬನ್ನೇರುಘಟ್ಟ ರಸ್ತೆ,ಜಿಗಣಿ ಎಪಿಸಿ ವೃತ್ತ,ಬನ್ನೇರುಘಟ್ಟ ವೃತ್ತ
BEL,271A,25,Abbigere,Gangamma Circle,,ಬಿಇಎಲ್,ಅಬ್ಬಿಗೆರೆ,ಗಂಗಮ್ಮ ವೃತ್ತ
BEL,273C,25,Jalahalli Cross,HMT,,ಬಿಇಎಲ್,ಜಾಲಹಳ್ಳಿ ಕ್ರಾಸ್,ಹೆಚ್‌ ಎಂ ಟಿ
BEL,266T,25,Lakshmipura,MS Palya,,ಬಿಇಎಲ್,ಲಕ್ಷ್ಮೀಪುರ,ಎಂಎಸ್ ಪಾಳ್ಯ
BEL,273,25,Peenya 2nd stage,HMT,,ಬಿಇಎಲ್,ಪೀಣ್ಯ 2 ನೇ ಹಂತ,ಹೆಚ್‌ ಎಂ ಟಿ
BEL,271C,25,Singapura,Kuvempunagar 2nd Stage,,ಬಿಇಎಲ್,ಸಿಂಗಾಪುರ,ಕುವೆಂಪುನಗರ 2ನೇ ಹಂತ
BEL,276,24,Vidyaranyapura,Ramaiah Hospital,,ಬಿಇಎಲ್,ವಿದ್ಯಾರಣ್ಯಪುರ,ರಾಮಯ್ಯ ಆಸ್ಪತ್ರೆ
Chamarajapete,45D,8,AGS Layout,Hanumanthanagara,,ಚಾಮರಾಜಪೇಟೆ,ಎಜಿಎಸ್‌ ಲೇಔಟ್‌,ಹನುಮಂತನಗರ
Chamarajapete,36A,10,Avalahalli BDA Park,Hanumanthanagara,,ಚಾಮರಾಜಪೇಟೆ,ಆವಲಹಳ್ಳಿ ಬಿಡಿಎ ಪಾರ್ಕ್‌,ಹನುಮಂತನಗರ
